code,product_name,brands,categories,ingredients_text,quantity
8699569340089,Acnemix,BİLİM İLAÇ,"non-open-products-facts, cosmetics, skin-care, acne-treatments-kits","Formula: After mixing; Acnemix 5% + 3% gel Benzoyl Peroxide - Erythromycin 46.6 g (in mixed form) Each gram of gel contains 5% benzoyl peroxide and 3% erythromycin as active ingredients, tissue sodium as an auxiliary substance, polyoxyl lauryl ether, ethyl alcohol, carbomer, methyl salicylate, lemon essence as a fragrance, sodium hydroxide and pure water.",46.6g
7291067021449,Body Oil Cherry Blossom,Laline,"non-open-products-facts, cosmetics, skin-care, body-oil, שמן גוף",,100 ml. 3.38 fl. oz
8809653243909,Probiotics Relief Toning Pad,Neogen,"non-open-products-facts, cosmetics, skin-care, facial-cleansing-kits, Korean Beauty",,
8809784600831,BALANCEFUL Cica Toner Pad,Torriden,"non-open-products-facts, cosmetics, skin-care, facial-cleansing-kits",,60 pcs
8809640734731,Heartleaf 77% Clear Pad,Anua,"non-open-products-facts, cosmetics, skin-care, facial-cleansing-kits, Korean Beauty",,160 ml
8809652580982,No.3 Radiance Glowing Jumbo Essence Pad,Numbuzin,"non-open-products-facts, cosmetics, skin-care",,70
8809576261387,SKIN1004 Madagascar Centella Quick Calming Pad,,"non-open-products-facts, cosmetics, skin-care, facial-cleansing-kits",,70
0839977006438,Stubborn Acne Control 5in1 Daily Pads,Clearasil,"non-open-products-facts, cosmetics, skin-care, acne-treatments-kits","Purpose Salicylic acid 1.9%................. ............Acne medication Use for the treatment of acne Warnings For external use only Flammable until dry, keep away from extreme heat or open flame When using this product avoid contact with the eyes. If product gets into the eyes, rinse thoroughly with water. skin irritation and dryness is more likely to occur if you use another topical acne medication at the same time. If irritation occurs, only use one topical acne medication at a time. limit use to face and neck Stop use and ask a doctor if skin or eye irritation develops Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",90 pcs
0852157008138,Glycolic/Salicylic Acid Acne Control Pads,QRxLabs,"non-open-products-facts, cosmetics, skin-care, acne-treatments-kits","Distilled Water, Glycolic Acid, Witch Hazel, Sodium Hydroxide, Polysorbate 20, Cocamidopropyl Dimethylamine, Salicylic Acid, Propanediol, Vegetable Glycerin, Vitamin B5, Calendula Extract, Green Tea Extract, Allantoin, Menthol, Eucalyptus Oil, Spearmint Oil, Vitamin E, Ascorbyl Palmitate (Vitamin C), Diazolidinyl Urea, Iodopropynyl Butylcarbamate",
4005900963499,NIVEA Soft hydraterende créme 48u hydratatie,NIVEA,"Body creams, cosmetics, non-open-products-facts, skin-care, nl:Verzorging",,200 ml
0815517028641,Facial Radiance Pads,First Aid Beauty,"non-open-products-facts, cosmetics, cosmetic-tools, skin-care, skin-care-tools, facial-cleansers",,28 pcs
02157915,Fonx,Karo Pharma,"Incorrect product type, cosmetics, health-beauty, health-care, lotion-moisturizer, medicine-drugs, non-open-products-facts, open-beauty-facts, skin-care","Nitrate d'oxiconazole, alcool stéarylique, alcool cétylique, vaseline officinale, polysorbate 60, propylèneglycol, acide benzoïque, eau pruifée.",15 g
9417864160435,Sensitive skin moisturiser,Living nature,Skin care,"Aqua, Persea gratissima (avocado) oil, Cocos nucifera (virgin coconut) oil**, Jojoba esters, Glycerin (vegetable glycerin), Cetearyl olivate, Sorbitan olivate, Xanthan gum, Phormium tenax (harakeke) extract, Citrus grandis (grapefruit) fruit extract, Cetyl palmitate, Sorbitan palmitate, Sodium levulinate, Sodium anisate. **Certified organic. This product is best used within 6 months of opening. Patch test before use.",50ml
6004077000066,Gentle magic 100ml,,Skin care,,
3401378104692,Gel nettoyant,HYFAC,Skin care,,12M
